ClusterID	Rouge-1 R	Rouge-1 F
d30017t	0.36974789916	0.385964912281
d30003t	0.390476190476	0.392344497608
d30011t	0.259615384615	0.254716981132
d30002t	0.309734513274	0.321100917431
d30037t	0.48623853211	0.488479262673
d30047t	0.390909090909	0.383928571429
d30026t	0.34	0.336633663366
d30027t	0.266055045872	0.262443438914
d30022t	0.274509803922	0.261682242991
d30040t	0.365384615385	0.378109452736
d30008t	0.366336633663	0.362745098039
d30007t	0.480769230769	0.47619047619
d30045t	0.318584070796	0.358208955224
d30042t	0.349056603774	0.327433628319
d30031t	0.452173913043	0.46017699115
d30015t	0.303571428571	0.316279069767
d30044t	0.315789473684	0.29702970297
d30029t	0.385321100917	0.392523364486
d30028t	0.359223300971	0.362745098039
d30006t	0.435185185185	0.408695652174
d30020t	0.306306306306	0.320754716981
d30033t	0.361904761905	0.356807511737
d30038t	0.368932038835	0.353488372093
d30010t	0.397959183673	0.384236453202
d30024t	0.323529411765	0.323529411765
d30034t	0.409090909091	0.424528301887
d30001t	0.41	0.381395348837
d30005t	0.359223300971	0.341013824885
d30036t	0.339285714286	0.340807174888
d30046t	0.339449541284	0.344186046512
